,commercial_area_name,commercial_area_code,week,floating_population,total_sales,total_customers
121,마장역 3번,3110123,MONDAY,469998.0,1187100206,63313.0
122,뚝섬역교차로,3110124,MONDAY,135702.0,1415583716,162805.0
123,사근동살곶이상점가,3110125,MONDAY,567697.0,1477846354,144926.0
124,서울숲역 1번,3110126,MONDAY,171261.0,136501462,7827.0
125,성수1가1동주민센터,3110127,MONDAY,96440.0,664847352,38309.0
126,성원중학교,3110128,MONDAY,693842.0,10917452293,441162.0
127,성원어린이공원,3110129,MONDAY,105603.0,1275199193,41918.0
128,답십리역 6번,3110130,MONDAY,314845.0,157425276,2787.0
129,성수동카페거리,3110131,MONDAY,562641.0,19777913358,570130.0
130,성수2가3동주민센터,3110132,MONDAY,341773.0,406297682,29562.0
131,서울교통공사,3110133,MONDAY,229599.0,433532814,11380.0
132,성수119안전센터,3110134,MONDAY,900662.0,2735682857,195401.0
133,성동세무서,3110135,MONDAY,143113.0,997114495,30239.0
134,경수초등학교,3110136,MONDAY,592872.0,6123353305,195114.0
135,성수초등학교,3110137,MONDAY,971211.0,14827936545,871248.0
136,송정체육공원,3110138,MONDAY,587276.0,1229729384,80401.0
137,자양4동주민센터,3110139,MONDAY,1173285.0,2649991563,144625.0
138,건대입구역 6번,3110140,MONDAY,1335533.0,4165159678,245241.0
139,건대입구역 1번,3110141,MONDAY,983348.0,1851310974,81654.0
140,화양사거리,3110142,MONDAY,1080105.0,2922602068,215603.0
141,뚝섬유원지역 1번,3110143,MONDAY,102453.0,1061762858,8925.0
142,어린이대공원역 4번,3110144,MONDAY,212496.0,395596009,28814.0
143,장안초등학교,3110145,MONDAY,152404.0,198044215,36697.0
144,신자초등학교,3110146,MONDAY,809094.0,1295270545,44348.0
145,능동우편취급국,3110147,MONDAY,546094.0,12698614864,130671.0
146,어린이대공원역 3번,3110148,MONDAY,410906.0,1234235702,86531.0
147,세종대학교,3110149,MONDAY,110361.0,278996377,1134.0
148,중곡1동 마을마당,3110150,MONDAY,1013498.0,1413974243,102422.0
149,자양한강도서관,3110151,MONDAY,769077.0,2936211865,167251.0
150,중곡어린이공원,3110152,MONDAY,130806.0,706105660,24414.0
151,중곡1동주민센터,3110153,MONDAY,164476.0,88998401,1027.0
152,광진정말공원,3110154,MONDAY,959244.0,3844706471,161328.0
153,광진구청,3110155,MONDAY,607162.0,875750104,61485.0
154,군자역 5번,3110156,MONDAY,519915.0,1752733292,98067.0
155,자양동우체국,3110157,MONDAY,804042.0,1119106300,60476.0
156,중곡3동주민센터,3110158,MONDAY,1706222.0,3722362287,220040.0
157,구의역 4번,3110159,MONDAY,2025747.0,5693789635,272340.0
158,광진경찰서,3110160,MONDAY,277997.0,118730326,5689.0
159,중곡역 3번,3110161,MONDAY,348582.0,2457641367,173814.0
160,군자역 4번,3110162,MONDAY,210989.0,841529558,48647.0
161,성자초등학교,3110163,MONDAY,318102.0,1891535997,108645.0
162,아차산역 5번,3110164,MONDAY,266645.0,1745207881,973.0
163,국립정신건강센터,3110165,MONDAY,436208.0,2529161943,73076.0
164,구의1동주민센터,3110166,MONDAY,1025720.0,4123799891,250151.0
165,용마초등학교,3110167,MONDAY,910463.0,4235424398,250044.0
166,대원고등학교,3110168,MONDAY,258087.0,556494846,35204.0
167,성동초등학교,3110169,MONDAY,350928.0,813639928,59320.0
168,동대부여고,3110170,MONDAY,1274201.0,938862052,64373.0
169,중곡4동주민센터,3110171,MONDAY,203840.0,166360402,457.0
170,광진초등학교,3110172,MONDAY,557622.0,1262202266,91828.0
171,구남초등학교,3110173,MONDAY,183907.0,450624989,24456.0
172,아차산역 1번,3110174,MONDAY,411497.0,1929829962,88546.0
173,푸른동산공원,3110175,MONDAY,577202.0,484616103,47349.0
174,해오름공원,3110176,MONDAY,725331.0,850090614,59003.0
175,동의초등학교,3110177,MONDAY,63946.0,112189854,2027.0
176,장로회신학대학교,3110178,MONDAY,199083.0,257264339,14430.0
177,광나루역 1번,3110179,MONDAY,229610.0,2637998372,236956.0
178,광진정보도서관,3110180,MONDAY,142390.0,4338870954,104529.0
179,신설동역 9번,3110181,MONDAY,734071.0,381797836,32608.0
180,용두희망어린이공원,3110182,MONDAY,525085.0,361352297,32054.0
181,한국의류시험연구원,3110183,MONDAY,408239.0,636359557,19512.0
182,용두사거리,3110184,MONDAY,200561.0,215616650,7735.0
183,용두초등학교,3110185,MONDAY,383482.0,140958092,4965.0
184,종암초등학교,3110186,MONDAY,84371.0,1016631252,41109.0
185,제기동역 6번,3110187,MONDAY,1495896.0,6771966822,311004.0
186,용두동신동아아파트,3110188,MONDAY,490194.0,1822472914,161448.0
187,제기동역 1번,3110189,MONDAY,545199.0,2547424138,46065.0
188,고대앞사거리,3110190,MONDAY,581336.0,755231214,70384.0
189,고려대역 6번,3110191,MONDAY,933774.0,1766168766,140488.0
190,동의보감타워,3110192,MONDAY,145088.0,1211346812,58156.0
191,고려대역 4번,3110193,MONDAY,386690.0,458453667,22970.0
192,홍파초등학교,3110194,MONDAY,198233.0,4678675565,93297.0
193,동대문구청,3110195,MONDAY,946505.0,4345309725,158757.0
194,세종대왕기념관교차로,3110197,MONDAY,151616.0,127101383,5584.0
195,동대문중앙새마을금고본점,3110198,MONDAY,166288.0,96469802,1665.0
196,홍릉시장,3110199,MONDAY,188437.0,1956332349,89066.0
197,동대문경찰서,3110200,MONDAY,201790.0,109047965,3626.0
198,전농119안전센터,3110201,MONDAY,81517.0,110371900,2417.0
199,전농1동주민센터(전농시장),3110202,MONDAY,236230.0,78088891,609.0
200,떡전교사거리,3110203,MONDAY,528559.0,472426067,47621.0
201,간데메공원,3110204,MONDAY,737732.0,4197884144,141147.0
