,commercial_area_name,pop_type,total_population,total_sales
190,등나무근린공원,WORKING,3817.0,202896461589
191,합정역,RESIDENT,21392.0,201409934523
192,합정역,WORKING,17355.0,201409934523
193,"강남구청(청담역_8번, 강남세무서)",RESIDENT,4924.0,200280303427
194,"강남구청(청담역_8번, 강남세무서)",WORKING,32436.0,200280303427
195,청량리역(청량리),RESIDENT,9096.0,198779668369
196,청량리역(청량리),WORKING,5058.0,198779668369
197,서울약령시장,RESIDENT,6928.0,197627168727
198,서울약령시장,WORKING,12626.0,197627168727
199,성수동카페거리,RESIDENT,8764.0,195116830293
200,성수동카페거리,WORKING,18662.0,195116830293
201,대치사거리,RESIDENT,13420.0,192236621899
202,대치사거리,WORKING,22110.0,192236621899
203,충무로역,RESIDENT,9380.0,185801891343
204,충무로역,WORKING,45898.0,185801891343
205,삼호가든사거리,RESIDENT,2484.0,184917043652
206,삼호가든사거리,WORKING,66579.0,184917043652
207,영등포역지하도상점가,RESIDENT,160.0,184505989118
208,영등포역지하도상점가,WORKING,5451.0,184505989118
209,을지로입구역,RESIDENT,280.0,182097076854
210,을지로입구역,WORKING,182890.0,182097076854
211,신정네거리역,RESIDENT,13440.0,180212453064
212,신정네거리역,WORKING,12942.0,180212453064
213,서초역,RESIDENT,9080.0,179126545750
214,서초역,WORKING,68983.0,179126545750
215,DMC(디지털미디어시티),RESIDENT,4708.0,179080346792
216,DMC(디지털미디어시티),WORKING,53145.0,179080346792
217,명일역,RESIDENT,8596.0,178721069925
218,명일역,WORKING,8852.0,178721069925
219,신용산역(용산역),RESIDENT,29540.0,178560451077
220,신용산역(용산역),WORKING,121505.0,178560451077
221,서초3동사거리,RESIDENT,13084.0,177832422657
222,서초3동사거리,WORKING,44152.0,177832422657
223,미아사거리역,RESIDENT,1740.0,176449499372
224,미아사거리역,WORKING,2079.0,176449499372
225,방산종합시장(방산시장),RESIDENT,1368.0,174392281450
226,방산종합시장(방산시장),WORKING,9584.0,174392281450
227,둔촌역,RESIDENT,9592.0,174025440825
228,둔촌역,WORKING,11326.0,174025440825
229,서울시청,RESIDENT,48.0,173837097679
230,서울시청,WORKING,65192.0,173837097679
231,영일시장,RESIDENT,472.0,164084221052
232,영일시장,WORKING,19653.0,164084221052
233,내방역,RESIDENT,10904.0,163162566602
234,내방역,WORKING,50261.0,163162566602
235,가락시장역,RESIDENT,9980.0,163009969723
236,가락시장역,WORKING,38038.0,163009969723
237,목동역 8번출구,RESIDENT,8088.0,162946469201
238,목동역 8번출구,WORKING,9706.0,162946469201
239,남정초등학교,RESIDENT,884.0,162751183770
240,남정초등학교,WORKING,740.0,162751183770
241,신설동역,RESIDENT,14952.0,161755160257
242,신설동역,WORKING,23628.0,161755160257
243,연신내역,RESIDENT,12376.0,159353521784
244,연신내역,WORKING,6826.0,159353521784
245,창동역,RESIDENT,2196.0,156866537997
246,창동역,WORKING,11662.0,156866537997
247,은행사거리,RESIDENT,772.0,155438777388
248,은행사거리,WORKING,6596.0,155438777388
249,구의역,RESIDENT,17268.0,154765606884
250,구의역,WORKING,21592.0,154765606884
251,휘문고교사거리,RESIDENT,1024.0,153463259891
252,휘문고교사거리,WORKING,50479.0,153463259891
253,언주역(차병원),RESIDENT,10372.0,150217367424
254,언주역(차병원),WORKING,49388.0,150217367424
255,약수역,RESIDENT,7304.0,149763519676
256,약수역,WORKING,33673.0,149763519676
257,을지로4가역,RESIDENT,240.0,149505180883
258,을지로4가역,WORKING,14660.0,149505180883
259,연신내상점가(연빛거리),RESIDENT,5760.0,148376100115
260,연신내상점가(연빛거리),WORKING,5086.0,148376100115
261,석촌역(석촌호수),RESIDENT,16448.0,148207930346
262,석촌역(석촌호수),WORKING,34141.0,148207930346
263,장안1동주민센터,RESIDENT,41580.0,148066028418
264,장안1동주민센터,WORKING,10060.0,148066028418
265,북촌(안국역),RESIDENT,5052.0,146281454427
266,북촌(안국역),WORKING,42961.0,146281454427
267,명동역(명동재미로),RESIDENT,3988.0,144649432141
268,명동역(명동재미로),WORKING,57841.0,144649432141
269,공덕역(공덕오거리),RESIDENT,10300.0,144594435920
270,공덕역(공덕오거리),WORKING,65518.0,144594435920
271,독산동,RESIDENT,32064.0,143741933146
272,독산동,WORKING,30567.0,143741933146
273,인왕시장(홍제골목형상점가),RESIDENT,948.0,143215965122
274,인왕시장(홍제골목형상점가),WORKING,479.0,143215965122
275,인사동,RESIDENT,1412.0,142512052861
276,인사동,WORKING,44630.0,142512052861
277,석촌고분역,RESIDENT,7108.0,142453344979
278,석촌고분역,WORKING,11151.0,142453344979
279,홍대 걷고싶은 거리,RESIDENT,1912.0,142159514050
280,홍대 걷고싶은 거리,WORKING,2898.0,142159514050
281,마천역(마천초등학교),RESIDENT,30860.0,141060043381
282,마천역(마천초등학교),WORKING,2942.0,141060043381
283,"양재시민의숲역(양재동꽃시장, aT센터)",RESIDENT,6720.0,140684934079
284,"양재시민의숲역(양재동꽃시장, aT센터)",WORKING,39257.0,140684934079
285,구로전화국,RESIDENT,13120.0,140530196621
286,구로전화국,WORKING,5914.0,140530196621
287,신대방삼거리역,RESIDENT,11116.0,139558569632
288,신대방삼거리역,WORKING,11054.0,139558569632
289,"수유전통시장(수유시장, 수유골목시장)",RESIDENT,2156.0,138708966730
290,"수유전통시장(수유시장, 수유골목시장)",WORKING,576.0,138708966730
291,당산역,RESIDENT,11240.0,138178137386
292,당산역,WORKING,13036.0,138178137386
293,서래마을카페거리(서래마을),RESIDENT,5588.0,138111306839
294,서래마을카페거리(서래마을),WORKING,51553.0,138111306839
295,한남오거리,RESIDENT,6592.0,137708775378
296,한남오거리,WORKING,37857.0,137708775378
297,로데오거리상점가,RESIDENT,3004.0,137642181834
298,로데오거리상점가,WORKING,2269.0,137642181834
299,보라매공원,RESIDENT,20148.0,137487868919
300,보라매공원,WORKING,52859.0,137487868919
301,서울중앙시장(신중앙시장),RESIDENT,4660.0,137030321218
302,서울중앙시장(신중앙시장),WORKING,1793.0,137030321218
303,뚝섬역,RESIDENT,7224.0,136479566286
304,뚝섬역,WORKING,26059.0,136479566286
305,선정릉역,RESIDENT,24968.0,136151929930
306,선정릉역,WORKING,76747.0,136151929930
307,삼성중앙역,RESIDENT,15356.0,135694133883
308,삼성중앙역,WORKING,76755.0,135694133883
309,신도림역,RESIDENT,12812.0,132707401699
310,신도림역,WORKING,38762.0,132707401699
311,시청역_8번,RESIDENT,56.0,132374042502
312,시청역_8번,WORKING,83929.0,132374042502
313,영등포구청역,RESIDENT,11512.0,131737522344
314,영등포구청역,WORKING,27754.0,131737522344
315,신당역,RESIDENT,14124.0,131310388462
316,신당역,WORKING,9011.0,131310388462
317,올림픽대교북단,RESIDENT,952.0,129854358274
318,올림픽대교북단,WORKING,4244.0,129854358274
319,남부터미널역,RESIDENT,15624.0,128587834560
320,남부터미널역,WORKING,89207.0,128587834560
321,청량리수산시장,RESIDENT,1200.0,127949090487
322,청량리수산시장,WORKING,886.0,127949090487
323,연희동,RESIDENT,4260.0,127067866651
324,연희동,WORKING,21819.0,127067866651
325,도화동 상점가,RESIDENT,10512.0,126756924389
326,도화동 상점가,WORKING,9880.0,126756924389
327,구산역,RESIDENT,6324.0,126644291983
328,구산역,WORKING,4845.0,126644291983
329,"동원전통종합시장(동원시장, 동원전통시장 상점가)",RESIDENT,8016.0,126616631930
330,"동원전통종합시장(동원시장, 동원전통시장 상점가)",WORKING,781.0,126616631930
331,매봉역,RESIDENT,4060.0,124396869303
332,매봉역,WORKING,366286.0,124396869303
333,화곡역,RESIDENT,12236.0,123743786725
334,화곡역,WORKING,8850.0,123743786725
335,남성사계시장(남성시장),RESIDENT,2784.0,123152702036
336,남성사계시장(남성시장),WORKING,1403.0,123152702036
337,동대문문구완구거리(동대문문구완구시장),RESIDENT,424.0,121363331924
338,동대문문구완구거리(동대문문구완구시장),WORKING,1278.0,121363331924
339,영동전통시장,RESIDENT,3948.0,121089665933
340,영동전통시장,WORKING,3348.0,121089665933
341,대림역,RESIDENT,5636.0,118786829427
342,대림역,WORKING,7379.0,118786829427
343,상봉역,RESIDENT,26168.0,118419079985
344,상봉역,WORKING,8017.0,118419079985
345,서원동상점가,RESIDENT,3584.0,118343453572
346,서원동상점가,WORKING,3412.0,118343453572
347,방이역 4번,RESIDENT,36888.0,118338552853
348,방이역 4번,WORKING,23292.0,118338552853
349,암사역,RESIDENT,8344.0,118020002974
350,암사역,WORKING,5203.0,118020002974
351,새마을시장,RESIDENT,10228.0,117840798481
352,새마을시장,WORKING,3288.0,117840798481
353,대청초등학교,RESIDENT,26824.0,116766982169
354,대청초등학교,WORKING,5788.0,116766982169
355,아차산역,RESIDENT,13332.0,116002551535
356,아차산역,WORKING,8377.0,116002551535
357,홍제역,RESIDENT,4480.0,115696875392
358,홍제역,WORKING,6238.0,115696875392
359,서교동(홍대),RESIDENT,12400.0,114858288727
360,서교동(홍대),WORKING,20130.0,114858288727
361,경찰병원역,RESIDENT,13900.0,113586104879
362,경찰병원역,WORKING,43318.0,113586104879
363,강서구청,RESIDENT,30880.0,113242956301
364,강서구청,WORKING,19617.0,113242956301
365,코엑스,RESIDENT,132.0,112715208299
366,코엑스,WORKING,238450.0,112715208299
367,교대입구교차로,RESIDENT,15768.0,111835500588
368,교대입구교차로,WORKING,60800.0,111835500588
369,까치산역,RESIDENT,14076.0,110234008662
370,까치산역,WORKING,3402.0,110234008662
371,한성대입구역,RESIDENT,4212.0,109862751343
372,한성대입구역,WORKING,12313.0,109862751343
373,성수초등학교,RESIDENT,6228.0,108671409118
374,성수초등학교,WORKING,54756.0,108671409118
375,삼전역 1번,RESIDENT,37304.0,108334448185
376,삼전역 1번,WORKING,8988.0,108334448185
377,마포역,RESIDENT,14980.0,107700511738
378,마포역,WORKING,48667.0,107700511738
379,구역삼세무서,RESIDENT,26772.0,107493270933
380,구역삼세무서,WORKING,66271.0,107493270933
381,남구로시장,RESIDENT,2172.0,106859388169
382,남구로시장,WORKING,1733.0,106859388169
383,남영동 먹자골목,RESIDENT,2416.0,106802539965
384,남영동 먹자골목,WORKING,12904.0,106802539965
385,마들역,RESIDENT,16.0,105842189835
386,마들역,WORKING,5988.0,105842189835
387,개롱역,RESIDENT,13984.0,104984565172
388,개롱역,WORKING,8977.0,104984565172
389,롯데백화점(시청광장 지하쇼핑센터),WORKING,103838.0,104824723498
390,양재천카페거리,RESIDENT,4448.0,104669800457
391,양재천카페거리,WORKING,52166.0,104669800457
392,비단길현대시장(현대시장),RESIDENT,7852.0,103283102513
393,비단길현대시장(현대시장),WORKING,1661.0,103283102513
394,서촌(경복궁역),RESIDENT,5452.0,103136511874
395,서촌(경복궁역),WORKING,11078.0,103136511874
396,63빌딩,RESIDENT,2488.0,102483369127
397,63빌딩,WORKING,32869.0,102483369127
398,거여역,RESIDENT,7452.0,102364695649
399,거여역,WORKING,10162.0,102364695649
400,등촌역,RESIDENT,20992.0,99710107259
